spam	Dear customer your SBI YONO account will be suspended today. Complete KYC immediately click http://sbi-kyc-update.xyz
spam	ALERT: Your electricity connection will be disconnected tonight at 9.30pm because previous month bill not updated. Contact officer 9832014567 immediately
spam	Congratulations! Your mobile number won Rs 25,00,000 in KBC Jio lucky draw. To claim call 8745120369 and pay processing fee Rs 6500
spam	This is Delhi Police Cyber Cell. A parcel in your name contains illegal items. Digital arrest warrant issued. Call IPS officer immediately 7890234561 or face arrest in 2 hours
spam	Your FedEx courier is on hold at customs. Pay Rs 2350 customs duty now to release: http://fedx-clearance.in Track ID FDX88213
spam	Aapka PayTM KYC expire ho gaya hai. Aaj hi update kare warna account block ho jayega. Call 9012345678 abhi
spam	RBI NOTICE: Aapke account me illegal transaction detect hua hai. Verification ke liye is link par click kare http://rbi-verify.co
spam	Congratulation aapne jeeta hai Tata Nexon car lucky draw me! Claim karne ke liye registration fee Rs 8500 turant bheje GPay 9876501234
spam	Work from home opportunity! Earn Rs 3000-5000 daily doing simple YouTube like tasks. Join telegram t.me/earnfast_official now limited seats
spam	Your Rs 4999 cashback from UPI Diwali offer is pending. Verify UPI PIN on this link to receive http://upi-cashback-claim.net
spam	Income Tax Refund of Rs 15,490 approved for PAN ending 234X. Update bank account within 24 hrs http://incometax-refund.org
spam	Loan approved! Rs 5,00,000 pre-approved personal loan at 0% interest. No documents needed. Download app now http://instaloan-fast.apk
spam	Your son has been arrested in hostel drug case. Do not tell anyone. Transfer Rs 50000 bail amount immediately GPay 8901234567 - Inspector Sharma
spam	AIRTEL: Aapka sim 24 ghante me band ho jayega. Aadhaar verification pending hai. Call 6789012345 immediately warna number permanently block
spam	HDFC ALERT your netbanking will be deactivated. Update PAN card details here http://hdfc-panupdate.info to continue services
spam	Flipkart Big Billion lucky customer! You won Samsung S24 Ultra. Pay only delivery charge Rs 149 http://flipkart-winner.shop
spam	URGENT: Gas connection subsidy of Rs 2400 credited failed. Re-verify bank details http://lpg-subsidy-gov.in within 12 hours
spam	Dream11 winner announcement: aapki team ne Rs 1,00,000 jeete hai! Withdrawal ke liye GST fee Rs 4999 pehle jama kare
spam	Your WhatsApp will be banned in 48 hours due to policy violation. Verify identity call 070-12345678 immediately to appeal
spam	Swiggy refund Rs 820 initiated but UPI failed. Share OTP received on your phone to process refund manually. Support executive Rahul
